Entidad de Residencia,Año Registro,Sexo,Población Niños,Defunciones Niños,Mortalidad Niños,Población Adolescentes,Defunciones Adolescentes,Mortalidad Adolescentes
Tamaulipas,2011,Hombre,326039,15,10.83,829231,51,22.09
Tamaulipas,2012,Hombre,325277,16,11.06,830867,44,18.49
Tamaulipas,2013,Hombre,324325,17,11.36,832041,53,23.54
Tamaulipas,2014,Hombre,323177,9,8.57,832833,27,11.36
Tlaxcala,2000,Hombre,124185,5,8.9,296093,17,17.53
Tlaxcala,2001,Hombre,125001,6,11.81,298949,18,23.77
Tlaxcala,2002,Hombre,125732,8,19.37,302380,12,9.64
Tlaxcala,2003,Hombre,126337,11,19.78,305723,31,32.78
Tlaxcala,2004,Hombre,126920,5,8.34,309176,19,21.67
Tlaxcala,2005,Hombre,127168,11,25.4,311776,17,11.38
Tlaxcala,2006,Hombre,127099,5,8.29,313747,21,21.91
Tlaxcala,2007,Hombre,127140,5,8.28,316276,29,36.85
Tlaxcala,2008,Hombre,127287,9,21.58,318973,19,15.68
Tlaxcala,2009,Hombre,127417,4,7.07,321411,24,31.23
Tlaxcala,2010,Hombre,127525,4,6.66,322797,12,12.46
Tlaxcala,2011,Hombre,127552,8,14.12,324950,16,14.07
Tlaxcala,2012,Hombre,127535,6,16.07,326249,26,31.15
Tlaxcala,2013,Hombre,127466,3,5.1,327272,21,22.96
Tlaxcala,2014,Hombre,127346,5,14.52,328020,31,35.25
Veracruz de Ignacio de la Llave,2000,Hombre,816097,42,16.22,1984051,120,19.84
Veracruz de Ignacio de la Llave,2001,Hombre,810286,43,13.59,1979634,107,17.59
Veracruz de Ignacio de la Llave,2002,Hombre,803539,35,11.61,1978475,115,21.02
Veracruz de Ignacio de la Llave,2003,Hombre,795572,39,13.02,1978108,119,19.69
Veracruz de Ignacio de la Llave,2004,Hombre,786287,37,14.73,1977345,119,20.68
Veracruz de Ignacio de la Llave,2005,Hombre,775868,37,17.18,1975124,119,21.93
Veracruz de Ignacio de la Llave,2006,Hombre,764988,53,19.43,1972418,127,18.63
Veracruz de Ignacio de la Llave,2007,Hombre,755128,31,12,1971336,99,16.59
Veracruz de Ignacio de la Llave,2008,Hombre,747054,40,11.75,1971140,112,18.62
Veracruz de Ignacio de la Llave,2009,Hombre,740944,44,15.22,1969886,110,17.62
Veracruz de Ignacio de la Llave,2010,Hombre,735976,40,14.4,1960904,114,18.85
Veracruz de Ignacio de la Llave,2011,Hombre,731222,42,16,1958556,104,15.45
Veracruz de Ignacio de la Llave,2012,Hombre,726846,29,8.65,1949328,121,21.85
Veracruz de Ignacio de la Llave,2013,Hombre,722982,33,11.29,1938434,127,21.87
Veracruz de Ignacio de la Llave,2014,Hombre,719828,29,12.18,1925866,103,18.12
Yucatán,2000,Hombre,193985,4,4.65,487125,12,7.44
Yucatán,2001,Hombre,192977,12,13.74,489417,24,14.08
Yucatán,2002,Hombre,191935,11,21.18,491661,27,16.35
Yucatán,2003,Hombre,190945,7,12.05,493393,19,13.23
Yucatán,2004,Hombre,190037,11,12.35,494797,27,16.14
Yucatán,2005,Hombre,189181,13,19.26,495433,35,23.71
Yucatán,2006,Hombre,188405,14,20.94,495371,40,25.78
Yucatán,2007,Hombre,187953,12,14.94,495493,44,29.06
Yucatán,2008,Hombre,187925,8,13.18,495707,24,13.68
Yucatán,2009,Hombre,188297,9,10.41,495789,21,13.39
Yucatán,2010,Hombre,188792,5,9.88,494652,19,12.9
Yucatán,2011,Hombre,189343,19,38.38,494825,33,17.67
Yucatán,2012,Hombre,190118,10,11.62,494344,24,14.4
Yucatán,2013,Hombre,191050,10,11.34,494130,36,22.56
Yucatán,2014,Hombre,192036,6,10.54,494102,30,22.81
Zacatecas,2000,Hombre,165574,16,26.52,415958,38,24.97
Zacatecas,2001,Hombre,165071,5,6.67,413151,29,24.92
Zacatecas,2002,Hombre,164033,6,8.24,410399,22,15.98
Zacatecas,2003,Hombre,163045,6,7.66,408019,30,28.75
Zacatecas,2004,Hombre,161996,9,21.77,404900,23,18.81
Zacatecas,2005,Hombre,161015,9,11.8,403189,25,20.54
Zacatecas,2006,Hombre,159948,7,9.37,403042,31,27.35
Zacatecas,2007,Hombre,158934,9,12.58,403070,29,24.73
Zacatecas,2008,Hombre,158392,3,3.78,404306,21,18.72
Zacatecas,2009,Hombre,158158,6,9.22,405796,14,10.59
Zacatecas,2010,Hombre,157691,7,15.22,405151,15,9.95
Zacatecas,2011,Hombre,157107,7,9.21,404973,25,23.82
Zacatecas,2012,Hombre,156622,7,15.66,404156,15,10.9
Zacatecas,2013,Hombre,156064,10,20.57,403220,22,15.25
Zacatecas,2014,Hombre,155384,4,6.15,402190,16,14.06
Aguascalientes,2000,Mujer,124984,9,22.11,301780,19,18.17
Aguascalientes,2001,Mujer,125526,9,27.81,304144,21,20.22
Aguascalientes,2002,Mujer,125991,10,17.52,307159,28,28.37
Aguascalientes,2003,Mujer,126374,10,24.27,310184,24,23.74
Aguascalientes,2004,Mujer,126611,3,5.53,312581,5,3.49
Aguascalientes,2005,Mujer,126609,3,5.16,314643,17,24.15
Aguascalientes,2006,Mujer,126336,5,14.97,316682,15,13.99
Aguascalientes,2007,Mujer,126000,7,11.92,318624,15,12.7
Aguascalientes,2008,Mujer,125785,6,16.64,320553,20,17.1
Aguascalientes,2009,Mujer,125615,8,14.36,322095,14,10.9
Aguascalientes,2010,Mujer,125315,13,28.66,322893,15,9.01
Aguascalientes,2011,Mujer,124901,5,9.23,323103,21,20.86
Aguascalientes,2012,Mujer,124551,5,8.84,323213,15,14.7
Aguascalientes,2013,Mujer,124145,4,6.86,323151,10,10.13
Aguascalientes,2014,Mujer,123710,5,21.93,323012,25,27.08
Baja California,2000,Mujer,289728,13,12.61,698692,33,13.48
Baja California,2001,Mujer,293634,12,15.57,713804,28,12.28
Baja California,2002,Mujer,296617,9,6.69,728025,23,9.93
Baja California,2003,Mujer,298804,15,17.02,741212,45,19.75
Baja California,2004,Mujer,300088,14,15.84,753364,34,14.79
Baja California,2005,Mujer,300608,17,12.18,764510,53,21.33
Baja California,2006,Mujer,300600,15,11.34,774724,41,15.31
Baja California,2007,Mujer,300301,15,17.21,783505,35,13.62
Baja California,2008,Mujer,300037,13,18.17,790533,33,14.56
Baja California,2009,Mujer,300211,12,9.38,795845,38,15.19
Baja California,2010,Mujer,299638,14,9.9,797758,30,12.29
Baja California,2011,Mujer,298379,12,8.62,797065,26,8.38
Baja California,2012,Mujer,298210,8,5.83,796932,34,14.31
Baja California,2013,Mujer,298231,8,8.49,796417,32,13.05
Baja California,2014,Mujer,298367,9,6.9,795499,19,7.01
Baja California Sur,2000,Mujer,50009,4,17.91,123237,14,38.15
Baja California Sur,2001,Mujer,50959,1,4.87,125609,3,6.51
Baja California Sur,2002,Mujer,51986,0,0,128476,4,10.46
Baja California Sur,2003,Mujer,53086,3,13.13,131600,7,16.42
Baja California Sur,2004,Mujer,54257,3,12.86,134971,3,3.17
Baja California Sur,2005,Mujer,55427,2,23.59,138441,4,6.86
Baja California Sur,2006,Mujer,56597,3,26.71,141973,7,15.2
Baja California Sur,2007,Mujer,57853,4,28.7,145701,10,20.31
Baja California Sur,2008,Mujer,59189,0,0,149587,6,15.9
Baja California Sur,2009,Mujer,60586,3,9.76,153564,7,11.45
Baja California Sur,2010,Mujer,62124,4,28.49,157638,4,3.64
Baja California Sur,2011,Mujer,63653,1,3.93,161651,7,13.23
Baja California Sur,2012,Mujer,65042,5,15.96,165382,7,8.36
Baja California Sur,2013,Mujer,66368,6,32.7,169056,10,15.16
Baja California Sur,2014,Mujer,67634,1,2.9,172668,3,4.68
Campeche,2000,Mujer,80980,3,7.96,203680,7,10.55
Campeche,2001,Mujer,80581,1,3.17,204755,9,15.52
Campeche,2002,Mujer,80128,0,0,205966,2,5.11
Campeche,2003,Mujer,79664,1,2.44,207078,5,6.99
Campeche,2004,Mujer,79256,5,14.59,207928,13,21.66
Campeche,2005,Mujer,78934,1,3.22,208584,11,21.81
Campeche,2006,Mujer,78720,2,5.02,209072,12,22.31
Campeche,2007,Mujer,78649,8,31.24,209455,8,5.55
Campeche,2008,Mujer,78743,6,17.79,209741,12,13.56
Campeche,2009,Mujer,79032,3,8.22,209858,11,16.27
Campeche,2010,Mujer,79425,2,5.66,209817,8,12.43
Campeche,2011,Mujer,79802,6,17.48,209548,16,23.14
Campeche,2012,Mujer,80235,1,2.51,209343,13,21.44
Campeche,2013,Mujer,80690,1,12.41,209216,9,16.61
Campeche,2014,Mujer,81154,4,11.08,209260,10,15.53
Coahuila de Zaragoza,2000,Mujer,267926,8,6.87,649326,32,17.3
Coahuila de Zaragoza,2001,Mujer,269236,6,7.58,653520,14,6.67
Coahuila de Zaragoza,2002,Mujer,270057,5,4.42,658811,9,3.12
Coahuila de Zaragoza,2003,Mujer,270484,13,11.07,664278,27,11.08
Coahuila de Zaragoza,2004,Mujer,270481,14,17.56,668999,26,9.56
Coahuila de Zaragoza,2005,Mujer,270157,9,10,673301,27,13.26
Coahuila de Zaragoza,2006,Mujer,269629,10,11.54,677767,32,14.03
Coahuila de Zaragoza,2007,Mujer,268949,17,19.78,682201,27,8.99
Coahuila de Zaragoza,2008,Mujer,268225,14,17.42,686207,30,11.18
Coahuila de Zaragoza,2009,Mujer,267494,11,8.76,689404,37,18.06
Coahuila de Zaragoza,2010,Mujer,266663,12,12.59,691475,36,17.18
Coahuila de Zaragoza,2011,Mujer,265581,5,7.21,692207,19,10.35
Coahuila de Zaragoza,2012,Mujer,264698,9,7.76,692480,27,12.01
Coahuila de Zaragoza,2013,Mujer,263860,10,8.74,692180,30,12.13
Coahuila de Zaragoza,2014,Mujer,263111,13,17.35,691455,35,15.24
Colima,2000,Mujer,58960,3,10.01,152142,17,40.69
Colima,2001,Mujer,58514,1,4.35,152260,3,7.79
Colima,2002,Mujer,58207,2,6.77,152681,4,8.68
Colima,2003,Mujer,58045,0,0,153149,2,4.26
Colima,2004,Mujer,57960,5,31.66,153352,5,4.73
Colima,2005,Mujer,58002,4,15.56,153698,14,29.75
Colima,2006,Mujer,58200,3,12.05,154342,7,13.59
Colima,2007,Mujer,58549,5,18.83,155025,11,21.82
Colima,2008,Mujer,59096,0,0,155898,2,4.26
Colima,2009,Mujer,59694,1,4.17,156808,1,0.92
Colima,2010,Mujer,60285,2,8.27,157603,4,6.08
Colima,2011,Mujer,61150,3,23.21,158592,9,17.48
Colima,2012,Mujer,61804,4,27.09,159456,8,16.19
Colima,2013,Mujer,62394,6,21.67,160386,12,17.93
Colima,2014,Mujer,62923,1,3.2,161367,7,13.35
Chiapas,2000,Mujer,571631,18,8.19,1361071,60,15.53
Chiapas,2001,Mujer,574053,21,9.31,1373851,63,14.36
Chiapas,2002,Mujer,575978,25,12.27,1387326,91,21.02
Chiapas,2003,Mujer,576815,21,11.12,1400409,73,16.7
Chiapas,2004,Mujer,576634,24,9.36,1412304,72,17.42
Chiapas,2005,Mujer,575009,29,14.1,1421279,75,15.74
Chiapas,2006,Mujer,572215,25,14.21,1428081,71,17.02
Chiapas,2007,Mujer,569196,26,14.66,1435110,70,15.01
Chiapas,2008,Mujer,565973,20,9.01,1441791,54,12.01
Chiapas,2009,Mujer,562548,23,11.76,1446202,63,13.01
Chiapas,2010,Mujer,559119,37,16.11,1448843,109,23.72
Chiapas,2011,Mujer,555498,36,16.94,1448944,92,19.66
Chiapas,2012,Mujer,552166,28,13.18,1447846,66,13.44
Chiapas,2013,Mujer,549057,30,13.39,1445211,94,21.54
Chiapas,2014,Mujer,546242,33,17.88,1441160,79,16.76
Chihuahua,2000,Mujer,327421,13,8.42,802277,33,11.69
Chihuahua,2001,Mujer,330637,13,13.49,811387,31,12.19
Chihuahua,2002,Mujer,333615,12,12.48,821025,30,11.4
Chihuahua,2003,Mujer,336177,11,7.14,830727,25,8.5
Chihuahua,2004,Mujer,337984,17,22.35,839218,39,13.58
Chihuahua,2005,Mujer,339457,16,15.76,847177,38,15.25
Chihuahua,2006,Mujer,340933,14,9.1,855259,36,11.8
Chihuahua,2007,Mujer,342353,13,12.82,862911,31,11.89
Chihuahua,2008,Mujer,343638,22,16.72,870006,48,16.25
Chihuahua,2009,Mujer,344855,14,11.17,875727,42,16.88
Chihuahua,2010,Mujer,344522,14,11.67,877830,42,15.47
Chihuahua,2011,Mujer,342701,15,11.76,877289,43,16.02
Chihuahua,2012,Mujer,341691,13,8.81,877641,31,10.62
Chihuahua,2013,Mujer,340531,12,8.11,877617,40,14.62
Chihuahua,2014,Mujer,339271,12,15.08,877187,36,13.11
Distrito Federal,2000,Mujer,768790,33,10.87,2104548,93,13.73
Distrito Federal,2001,Mujer,754487,40,13.27,2069325,114,16.52
Distrito Federal,2002,Mujer,741313,25,7.34,2036635,99,16
Distrito Federal,2003,Mujer,729311,17,5.3,2004599,65,11.1
Distrito Federal,2004,Mujer,717899,38,18.17,1971139,80,11.53
Distrito Federal,2005,Mujer,707143,44,20.34,1938391,112,16.61
Distrito Federal,2006,Mujer,697207,22,10.37,1907617,68,11.22
Distrito Federal,2007,Mujer,687736,31,13.52,1877860,79,12.76
Distrito Federal,2008,Mujer,678829,21,6.7,1849451,69,11.86
Distrito Federal,2009,Mujer,670173,29,12.34,1821377,83,13.79
Distrito Federal,2010,Mujer,661397,25,11.88,1793193,69,11.84
Distrito Federal,2011,Mujer,652402,35,15.42,1765200,95,16.39
Distrito Federal,2012,Mujer,643687,32,12.11,1739261,80,13.75
Distrito Federal,2013,Mujer,634942,27,12.09,1714784,91,17.34
Distrito Federal,2014,Mujer,626268,22,9.12,1691510,88,17.38
Durango,2000,Mujer,178913,5,10.26,438223,11,7.14
Durango,2001,Mujer,178239,5,6.43,437537,17,14.53
Durango,2002,Mujer,177386,5,10.98,437728,19,16.06
Durango,2003,Mujer,176473,3,3.97,438251,15,12.93
Durango,2004,Mujer,175146,5,15.56,437668,9,6.58
Durango,2005,Mujer,173702,11,19.78,437622,25,15.07
Durango,2006,Mujer,172318,5,11.8,438632,9,6.52
Durango,2007,Mujer,170903,10,22.51,439573,18,9.22
Durango,2008,Mujer,169667,11,18.62,440877,15,7.46
Durango,2009,Mujer,168526,7,9.19,441194,17,10.57
Durango,2010,Mujer,167377,3,8.81,440595,13,9.25
Durango,2011,Mujer,166147,11,24.71,439495,19,11.24
Durango,2012,Mujer,165066,2,7.7,437984,6,4.47
Durango,2013,Mujer,164020,3,3.95,436244,13,9.33
Durango,2014,Mujer,163043,4,5.18,434295,14,11.26
Guanajuato,2000,Mujer,619722,28,16.76,1555402,72,14.54
Guanajuato,2001,Mujer,615051,24,11.25,1545875,62,11.92
Guanajuato,2002,Mujer,610652,27,12.51,1542054,73,14.95
Guanajuato,2003,Mujer,605643,16,8.57,1540477,58,13.3
Guanajuato,2004,Mujer,599932,22,9.34,1536084,50,10.36
Guanajuato,2005,Mujer,593200,29,13.84,1528644,71,14.06
Guanajuato,2006,Mujer,585920,26,11.5,1521360,64,11.4
Guanajuato,2007,Mujer,579755,18,6.79,1516585,64,12.88
Guanajuato,2008,Mujer,574845,26,15.12,1514483,62,11.98
Guanajuato,2009,Mujer,569961,20,9.24,1510779,64,13.85
Guanajuato,2010,Mujer,565658,18,10.05,1504436,68,15.46
Guanajuato,2011,Mujer,561617,20,10.73,1495735,70,15.7
Guanajuato,2012,Mujer,558241,15,7.36,1486917,59,13.5
Guanajuato,2013,Mujer,554930,19,8.73,1477008,55,11.72
Guanajuato,2014,Mujer,551785,27,13.6,1466845,71,14.85
Guerrero,2000,Mujer,419288,13,6.93,989962,25,5.95
Guerrero,2001,Mujer,415970,9,4.92,989446,21,5.35
Guerrero,2002,Mujer,412374,6,5.18,991674,30,12.17
Guerrero,2003,Mujer,408481,7,4.05,993999,23,6.78
Guerrero,2004,Mujer,403707,9,6.81,994003,39,14
Guerrero,2005,Mujer,398301,12,8.95,993049,32,11.09
Guerrero,2006,Mujer,392824,13,11.28,992596,31,9.59
Guerrero,2007,Mujer,387719,8,4.65,992503,26,9.66
Guerrero,2008,Mujer,383114,11,7.96,992558,29,9.57
Guerrero,2009,Mujer,378858,11,9.21,991230,43,14.09
Guerrero,2010,Mujer,374839,12,7.36,987537,44,16.91
Guerrero,2011,Mujer,370480,18,19.72,980760,46,13.49
Guerrero,2012,Mujer,366397,10,10.47,973389,22,6.27
Guerrero,2013,Mujer,362342,15,9.1,965242,33,10.18
Guerrero,2014,Mujer,358392,17,15.02,956300,31,7.75
Hidalgo,2000,Mujer,273003,14,14.46,698805,36,14.93
Hidalgo,2001,Mujer,271435,11,11.78,695489,23,10.22
Hidalgo,2002,Mujer,270191,10,7.96,694425,34,15.69
Hidalgo,2003,Mujer,269183,7,5.96,693973,29,15.25
Hidalgo,2004,Mujer,268180,10,8.6,692582,42,23.45
Hidalgo,2005,Mujer,267147,10,8.25,691315,26,10.8
Hidalgo,2006,Mujer,266290,8,9.73,691086,24,10.37
Hidalgo,2007,Mujer,265769,11,14.65,691291,29,12.48
Hidalgo,2008,Mujer,265686,10,10.91,692044,30,14.25
Hidalgo,2009,Mujer,265915,8,6.2,692767,30,15.26
Hidalgo,2010,Mujer,266040,19,22.38,692970,45,19.94
Hidalgo,2011,Mujer,265657,15,14.66,692417,29,11.86
Hidalgo,2012,Mujer,265367,8,12.44,691921,30,15.74
Hidalgo,2013,Mujer,264927,14,14.53,691373,30,12.11
Hidalgo,2014,Mujer,264376,9,8.17,690830,35,15.86
Jalisco,2000,Mujer,735478,32,14.07,1856686,102,17.71
Jalisco,2001,Mujer,732644,33,12.23,1856632,81,13
Jalisco,2002,Mujer,729857,33,11.98,1859185,95,15.45
Jalisco,2003,Mujer,727477,43,14.44,1861983,91,14.75
Jalisco,2004,Mujer,724506,45,17.82,1860314,119,19.28
Jalisco,2005,Mujer,722107,28,10.94,1860239,94,17.33
Jalisco,2006,Mujer,720724,28,10.13,1863912,88,15.19
Jalisco,2007,Mujer,719938,32,12.15,1867028,94,15.2
Jalisco,2008,Mujer,720268,38,15.73,1870786,96,15.11
Jalisco,2009,Mujer,721087,35,11.51,1873807,101,17.21
Jalisco,2010,Mujer,721456,28,10.75,1874376,92,15.92
Jalisco,2011,Mujer,720874,46,18.07,1872368,106,16.98
Jalisco,2012,Mujer,720888,28,12,1871046,92,16.14
Jalisco,2013,Mujer,720662,23,10.14,1869716,77,13.24
Jalisco,2014,Mujer,720250,36,14.45,1868580,88,13.52
México,2000,Mujer,1479968,51,11.49,3696692,141,12.01
México,2001,Mujer,1484833,41,8.2,3720663,147,13.71
México,2002,Mujer,1489039,49,8.49,3745087,149,13.07
México,2003,Mujer,1492996,47,7.6,3768430,119,9.8
México,2004,Mujer,1495221,37,8.15,3788233,163,15.32
México,2005,Mujer,1496244,55,10.45,3807550,151,12.24
México,2006,Mujer,1497309,68,13.46,3827291,168,12.99
México,2007,Mujer,1498488,58,9.27,3845400,164,13.82
México,2008,Mujer,1499581,45,7.81,3861669,147,12.52
México,2009,Mujer,1500023,62,13.03,3873435,148,11.83
México,2010,Mujer,1500601,71,14.11,3882193,163,12.44
México,2011,Mujer,1500429,57,11.31,3887409,159,12.93
México,2012,Mujer,1500848,45,7.71,3892544,147,12.09
México,2013,Mujer,1501153,58,12.12,3897325,168,13.42
México,2014,Mujer,1501404,37,8,3901176,133,11.61
Michoacán de Ocampo,2000,Mujer,483605,29,15.15,1233929,69,15.66
Michoacán de Ocampo,2001,Mujer,477263,30,19.39,1224237,58,12.97
Michoacán de Ocampo,2002,Mujer,470929,16,9.05,1217815,32,7.81
Michoacán de Ocampo,2003,Mujer,464908,17,11.98,1211894,49,12.91
Michoacán de Ocampo,2004,Mujer,458423,25,15.56,1201995,55,13.08
Michoacán de Ocampo,2005,Mujer,452283,22,10.72,1192629,52,12.79
Michoacán de Ocampo,2006,Mujer,447143,10,5.17,1185999,56,17.97
Michoacán de Ocampo,2007,Mujer,443063,20,11.38,1179715,42,10.09
Michoacán de Ocampo,2008,Mujer,440324,8,3.86,1174984,28,7.17
Michoacán de Ocampo,2009,Mujer,438136,20,11.98,1169334,48,12.11
Michoacán de Ocampo,2010,Mujer,436148,15,9.52,1161386,37,9.57
Michoacán de Ocampo,2011,Mujer,433962,14,9.11,1151590,52,15.26
Michoacán de Ocampo,2012,Mujer,432420,20,15.58,1142794,46,10.95
Michoacán de Ocampo,2013,Mujer,430933,11,9.49,1134289,59,19.24
Michoacán de Ocampo,2014,Mujer,429478,23,15.95,1126346,51,12.41
Morelos,2000,Mujer,173353,4,5.87,438785,16,13.05
Morelos,2001,Mujer,172270,11,18.46,439196,35,25.2
Morelos,2002,Mujer,170865,5,5.7,440273,23,16.82
Morelos,2003,Mujer,169590,8,9.56,441296,14,7.95
Morelos,2004,Mujer,168198,5,6.89,441008,23,17.59
Morelos,2005,Mujer,167035,5,11.51,441149,23,19.28
Morelos,2006,Mujer,166278,6,12.39,442054,10,4.91
Morelos,2007,Mujer,165739,13,23.09,442289,31,20
Morelos,2008,Mujer,165558,7,13.95,442484,17,11.27
Morelos,2009,Mujer,165577,4,5.45,442335,16,12.51
Morelos,2010,Mujer,165677,5,6.64,441263,25,21.08
Morelos,2011,Mujer,165777,8,10.55,439935,14,7.9
Morelos,2012,Mujer,166137,5,15.94,438559,15,9.99
Morelos,2013,Mujer,166498,7,23.36,437390,23,18.2
Morelos,2014,Mujer,166828,7,9,436476,21,17.49
Nayarit,2000,Mujer,101845,4,25.07,259687,14,16.43
Nayarit,2001,Mujer,101496,2,3.89,259416,6,7.68
Nayarit,2002,Mujer,101317,2,4.45,259961,8,11.68
Nayarit,2003,Mujer,101336,5,18.45,261000,5,2.76
Nayarit,2004,Mujer,101358,3,6.93,261768,5,4.15
Nayarit,2005,Mujer,101574,2,4.43,263062,6,6.07
Nayarit,2006,Mujer,102171,4,16.87,265145,10,9.59
Nayarit,2007,Mujer,103125,3,14.67,267527,11,11.45
Nayarit,2008,Mujer,104425,2,4.79,270493,8,9.75
Nayarit,2009,Mujer,105993,5,9.45,273741,13,13.64
Nayarit,2010,Mujer,107630,4,7.89,276812,8,6.89
Nayarit,2011,Mujer,109028,6,12.74,279448,14,13.91
Nayarit,2012,Mujer,110412,4,15.67,282092,8,8.04
Nayarit,2013,Mujer,111700,9,32.34,284750,9,4.54
Nayarit,2014,Mujer,112905,4,14.88,287421,8,7.91
Nuevo León,2000,Mujer,406506,21,15.52,1022842,47,13.24
Nuevo León,2001,Mujer,409726,18,13.52,1028986,42,11.76
Nuevo León,2002,Mujer,412765,15,13.66,1036155,37,10.62
Nuevo León,2003,Mujer,415749,19,14.28,1043773,61,20.74
Nuevo León,2004,Mujer,418292,21,14.6,1051044,43,12.38
Nuevo León,2005,Mujer,420292,20,12.61,1059038,48,14.04
Nuevo León,2006,Mujer,422130,15,11.43,1067730,39,11.99
Nuevo León,2007,Mujer,423903,24,18.37,1076131,54,15.63
Nuevo León,2008,Mujer,425487,17,10.48,1084461,45,12.91
Nuevo León,2009,Mujer,426725,16,10.35,1092101,46,13.96
Nuevo León,2010,Mujer,427585,24,16.36,1098563,54,14.22
Nuevo León,2011,Mujer,427982,17,12.51,1103944,53,16.67
Nuevo León,2012,Mujer,428399,18,13.19,1109119,42,11.13
Nuevo León,2013,Mujer,428640,22,15.28,1113896,54,13.32
Nuevo León,2014,Mujer,428781,17,9.62,1118111,43,11.47
Oaxaca,2000,Mujer,442130,12,6.22,1088502,36,11.21
Oaxaca,2001,Mujer,437518,21,15.45,1082216,51,14.29
Oaxaca,2002,Mujer,433015,21,10.85,1080889,59,16.72
Oaxaca,2003,Mujer,428387,25,16.75,1079939,63,18.01
Oaxaca,2004,Mujer,424108,19,13.47,1077896,57,18.01
Oaxaca,2005,Mujer,418804,28,21.02,1072994,62,16.03
Oaxaca,2006,Mujer,412941,13,12.96,1067055,57,19.07
Oaxaca,2007,Mujer,408381,21,11.24,1063669,65,18.95
Oaxaca,2008,Mujer,404720,15,10.02,1061906,61,19.06
Oaxaca,2009,Mujer,401444,14,7.73,1059288,56,18.02
Oaxaca,2010,Mujer,398805,20,12.78,1054967,56,17.7
Oaxaca,2011,Mujer,396068,21,13.9,1049154,57,17.2
Oaxaca,2012,Mujer,393701,19,15.4,1042181,51,14.43
Oaxaca,2013,Mujer,391589,22,12.65,1034709,62,18.16
Oaxaca,2014,Mujer,389557,13,7.19,1027303,55,17.02
Puebla,2000,Mujer,643488,45,16.86,1586654,95,16.63
Puebla,2001,Mujer,640999,28,15.57,1586533,74,15.04
Puebla,2002,Mujer,638930,38,15.63,1590536,78,13.05
Puebla,2003,Mujer,636192,37,14.22,1595022,87,16.28
Puebla,2004,Mujer,632428,37,17.03,1598966,87,16.46
Puebla,2005,Mujer,627613,34,16.74,1599611,98,19.77
Puebla,2006,Mujer,623051,30,10.6,1597737,80,15.47
Puebla,2007,Mujer,619649,35,16.21,1597421,91,17.85
Puebla,2008,Mujer,616766,34,16.03,1597932,94,18.27
Puebla,2009,Mujer,613652,29,12.6,1596272,81,15.89
Puebla,2010,Mujer,610791,32,14.32,1593239,66,11.75
Puebla,2011,Mujer,607983,28,13.06,1589063,66,12.23
Puebla,2012,Mujer,605515,24,8.85,1584679,62,12.33
Puebla,2013,Mujer,603071,25,12.71,1578807,63,12.23
Puebla,2014,Mujer,600682,24,11.37,1571434,70,12.79
Querétaro de Arteaga,2000,Mujer,186783,10,10.97,469171,22,13.23
Querétaro de Arteaga,2001,Mujer,186188,7,8.6,470440,15,8.61
Querétaro de Arteaga,2002,Mujer,185751,7,8.06,472835,31,22.21
Querétaro de Arteaga,2003,Mujer,185327,7,8.36,475111,33,22.6
Querétaro de Arteaga,2004,Mujer,184978,5,6.52,476874,23,17.97
Querétaro de Arteaga,2005,Mujer,184239,5,5.97,477651,11,6.43
Querétaro de Arteaga,2006,Mujer,183442,6,7.96,478240,22,14.36
Querétaro de Arteaga,2007,Mujer,183282,9,18.76,479638,17,10.48
Querétaro de Arteaga,2008,Mujer,183292,3,3.54,481076,9,7.24
Querétaro de Arteaga,2009,Mujer,183258,7,12.87,481938,25,17.33
Querétaro de Arteaga,2010,Mujer,183327,12,18.87,482385,28,16
Querétaro de Arteaga,2011,Mujer,183326,7,13.18,482166,21,14.54
Querétaro de Arteaga,2012,Mujer,183424,7,8.16,481992,19,11.76
Querétaro de Arteaga,2013,Mujer,183526,3,3.24,481766,13,9.89
Querétaro de Arteaga,2014,Mujer,183631,8,10.11,481577,16,10.72
Quintana Roo,2000,Mujer,110871,5,17.44,281487,9,8.65
Quintana Roo,2001,Mujer,112510,3,6.24,287898,11,14.71
Quintana Roo,2002,Mujer,114106,7,28.16,294168,13,12.75
Quintana Roo,2003,Mujer,115752,6,12.64,300118,10,9.77
Quintana Roo,2004,Mujer,117518,3,5.97,305890,11,11.23
Quintana Roo,2005,Mujer,119176,6,26.06,311196,14,12.43
Quintana Roo,2006,Mujer,121354,6,18.46,316668,12,11.24
Quintana Roo,2007,Mujer,124519,3,5.24,322913,17,16.83
Quintana Roo,2008,Mujer,127478,1,7.82,328722,9,9.61
Quintana Roo,2009,Mujer,130314,6,16.21,334114,16,14.67
Quintana Roo,2010,Mujer,133453,0,0,339573,4,3.97
Quintana Roo,2011,Mujer,136557,7,11.32,345079,19,18.62
Quintana Roo,2012,Mujer,139783,7,11.36,350563,13,10.62
Quintana Roo,2013,Mujer,143033,4,5.95,356157,16,14.03
Quintana Roo,2014,Mujer,146242,4,6.13,361916,10,7.23
San Luis Potosí,2000,Mujer,281220,11,14.35,698864,31,13.53
San Luis Potosí,2001,Mujer,279499,12,15.39,697257,34,14.69
San Luis Potosí,2002,Mujer,277728,6,7.75,697350,28,15.24
San Luis Potosí,2003,Mujer,275830,12,12.91,697694,28,13.01
San Luis Potosí,2004,Mujer,273402,10,8.42,696254,24,10.45
